transaction_id,sku,quantity,unit_price,total_amount,sale_date,channel
T-001,SKU-001,5,799,3995,2026-01-20,offline
T-002,SKU-002,2,1999,3998,2026-01-20,offline
T-003,SKU-003,8,149,1192,2026-01-20,offline
T-004,SKU-001,6,799,4794,2026-01-21,offline
T-005,SKU-002,3,1999,5997,2026-01-21,offline
T-006,SKU-003,7,149,1043,2026-01-21,offline
T-007,SKU-001,5,799,3995,2026-01-22,offline
T-008,SKU-002,2,1999,3998,2026-01-22,offline
T-009,SKU-003,10,149,1490,2026-01-22,offline
T-010,SKU-001,4,799,3196,2026-01-23,offline
T-011,SKU-002,2,1999,3998,2026-01-23,offline
T-012,SKU-003,6,149,894,2026-01-23,offline
T-013,SKU-001,7,799,5593,2026-01-24,offline
T-014,SKU-002,1,1999,1999,2026-01-24,offline
T-015,SKU-003,9,149,1341,2026-01-24,offline
T-016,SKU-001,6,799,4794,2026-01-25,offline
T-017,SKU-002,2,1999,3998,2026-01-25,offline
T-018,SKU-003,5,149,745,2026-01-25,offline
T-019,SKU-001,8,799,6392,2026-02-10,offline
T-020,SKU-002,1,1999,1999,2026-02-10,offline
T-021,SKU-003,11,149,1639,2026-02-10,offline
T-022,SKU-001,7,799,5593,2026-02-11,offline
T-023,SKU-002,1,1999,1999,2026-02-11,offline
T-024,SKU-003,8,149,1192,2026-02-11,offline
T-025,SKU-001,9,799,7191,2026-02-12,offline
T-026,SKU-002,2,1999,3998,2026-02-12,offline
T-027,SKU-003,7,149,1043,2026-02-12,offline
