sku,name,category,supplier_id,cost_price,selling_price,supplier_lead_time_days
85123A,WHITE HANGING HEART T-LIGHT HOLDER,Giftware,SUP-1,1.78,2.55,7
71053,WHITE METAL LANTERN,Giftware,SUP-1,2.37,3.39,7
84406B,CREAM CUPID HEARTS COAT HANGER,Giftware,SUP-1,1.92,2.75,7
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,Giftware,SUP-1,2.37,3.39,7
84029E,RED WOOLLY HOTTIE WHITE HEART.,Giftware,SUP-1,2.37,3.39,7
22752,SET 7 BABUSHKA NESTING BOXES,Giftware,SUP-1,5.35,7.65,7
21730,GLASS STAR FROSTED T-LIGHT HOLDER,Giftware,SUP-1,2.97,4.25,7
22633,HAND WARMER UNION JACK,Giftware,SUP-1,1.29,1.85,7
22632,HAND WARMER RED POLKA DOT,Giftware,SUP-1,1.29,1.85,7
84879,ASSORTED COLOUR BIRD ORNAMENT,Giftware,SUP-1,1.18,1.69,7
22745,POPPY'S PLAYHOUSE BEDROOM,Giftware,SUP-1,1.47,2.1,7
22748,POPPY'S PLAYHOUSE KITCHEN,Giftware,SUP-1,1.47,2.1,7
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,Giftware,SUP-1,2.63,3.75,7
22310,IVORY KNITTED MUG COSY,Giftware,SUP-1,1.15,1.65,7
84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,Giftware,SUP-1,2.97,4.25,7
22623,BOX OF VINTAGE JIGSAW BLOCKS,Giftware,SUP-1,3.46,4.95,7
22622,BOX OF VINTAGE ALPHABET BLOCKS,Giftware,SUP-1,6.96,9.95,7
21754,HOME BUILDING BLOCK WORD,Giftware,SUP-1,4.17,5.95,7
21755,LOVE BUILDING BLOCK WORD,Giftware,SUP-1,4.17,5.95,7
21777,RECIPE BOX WITH METAL HEART,Giftware,SUP-1,5.56,7.95,7
48187,DOORMAT NEW ENGLAND,Giftware,SUP-1,5.56,7.95,7
22960,JAM MAKING SET WITH JARS,Giftware,SUP-1,2.97,4.25,7
22913,RED COAT RACK PARIS FASHION,Giftware,SUP-1,3.46,4.95,7
22912,YELLOW COAT RACK PARIS FASHION,Giftware,SUP-1,3.46,4.95,7
22914,BLUE COAT RACK PARIS FASHION,Giftware,SUP-1,3.46,4.95,7
21756,BATH BUILDING BLOCK WORD,Giftware,SUP-1,4.17,5.95,7
22728,ALARM CLOCK BAKELIKE PINK,Giftware,SUP-1,2.63,3.75,7
22727,ALARM CLOCK BAKELIKE RED,Giftware,SUP-1,2.63,3.75,7
22726,ALARM CLOCK BAKELIKE GREEN,Giftware,SUP-1,2.63,3.75,7
21724,PANDA AND BUNNIES STICKER SHEET,Giftware,SUP-1,0.59,0.85,7
21883,STARS GIFT TAPE,Giftware,SUP-1,0.45,0.65,7
10002,INFLATABLE POLITICAL GLOBE,Giftware,SUP-1,0.59,0.85,7
21791,VINTAGE HEADS AND TAILS CARD GAME,Giftware,SUP-1,0.88,1.25,7
21035,SET/2 RED RETROSPOT TEA TOWELS,Giftware,SUP-1,2.06,2.95,7
22326,ROUND SNACK BOXES SET OF4 WOODLAND,Giftware,SUP-1,2.06,2.95,7
22629,SPACEBOY LUNCH BOX,Giftware,SUP-1,1.36,1.95,7
22659,LUNCH BOX I LOVE LONDON,Giftware,SUP-1,1.36,1.95,7
22631,CIRCUS PARADE LUNCH BOX,Giftware,SUP-1,1.36,1.95,7
22661,CHARLOTTE BAG DOLLY GIRL DESIGN,Giftware,SUP-1,0.59,0.85,7
21731,RED TOADSTOOL LED NIGHT LIGHT,Giftware,SUP-1,1.15,1.65,7
22900,SET 2 TEA TOWELS I LOVE LONDON,Giftware,SUP-1,2.06,2.95,7
21913,VINTAGE SEASIDE JIGSAW PUZZLES,Giftware,SUP-1,2.63,3.75,7
22540,MINI JIGSAW CIRCUS PARADE,Giftware,SUP-1,0.29,0.42,7
22544,MINI JIGSAW SPACEBOY,Giftware,SUP-1,0.29,0.42,7
22492,MINI PAINT SET VINTAGE,Giftware,SUP-1,0.45,0.65,7
POST,POSTAGE,Giftware,SUP-1,12.6,18,7
22086,PAPER CHAIN KIT 50'S CHRISTMAS,Giftware,SUP-1,1.78,2.55,7
20679,EDWARDIAN PARASOL RED,Giftware,SUP-1,3.46,4.95,7
37370,RETRO COFFEE MUGS ASSORTED,Giftware,SUP-1,0.74,1.06,7
21871,SAVE THE PLANET MUG,Giftware,SUP-1,0.74,1.06,7
21071,VINTAGE BILLBOARD DRINK ME MUG,Giftware,SUP-1,0.74,1.06,7
21068,VINTAGE BILLBOARD LOVE/HATE MUG,Giftware,SUP-1,0.74,1.06,7
82483,WOOD 2 DRAWER CABINET WHITE FINISH,Giftware,SUP-1,3.46,4.95,7
82486,WOOD S/3 CABINET ANT WHITE FINISH,Giftware,SUP-1,4.87,6.95,7
82482,WOODEN PICTURE FRAME WHITE FINISH,Giftware,SUP-1,1.47,2.1,7
82494L,WOODEN FRAME ANTIQUE WHITE,Giftware,SUP-1,1.78,2.55,7
21258,VICTORIAN SEWING BOX LARGE,Giftware,SUP-1,7.66,10.95,7
22114,HOT WATER BOTTLE TEA AND SYMPATHY,Giftware,SUP-1,2.42,3.45,7
21733,RED HANGING HEART T-LIGHT HOLDER,Giftware,SUP-1,1.78,2.55,7
22386,JUMBO BAG PINK POLKADOT,Giftware,SUP-1,1.36,1.95,7
85099C,JUMBO  BAG BAROQUE BLACK WHITE,Giftware,SUP-1,1.36,1.95,7
21033,JUMBO BAG CHARLIE AND LOLA TOYS,Giftware,SUP-1,2.06,2.95,7
20723,STRAWBERRY CHARLOTTE BAG,Giftware,SUP-1,0.59,0.85,7
84997B,RED 3 PIECE RETROSPOT CUTLERY SET,Giftware,SUP-1,2.63,3.75,7
84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,Giftware,SUP-1,2.63,3.75,7
21094,SET/6 RED SPOTTY PAPER PLATES,Giftware,SUP-1,0.59,0.85,7
20725,LUNCH BAG RED RETROSPOT,Giftware,SUP-1,1.15,1.65,7
