transaction_id,sku,quantity,unit_price,total_amount,sale_date,channel
536365-0,85123A,6,2.55,15.3,2010-01-12,online
536365-1,71053,6,3.39,20.34,2010-01-12,online
536365-2,84406B,8,2.75,22,2010-01-12,online
536365-3,84029G,6,3.39,20.34,2010-01-12,online
536365-4,84029E,6,3.39,20.34,2010-01-12,online
536365-5,22752,2,7.65,15.3,2010-01-12,online
536365-6,21730,6,4.25,25.5,2010-01-12,online
536366-7,22633,6,1.85,11.1,2010-01-12,online
536366-8,22632,6,1.85,11.1,2010-01-12,online
536367-9,84879,32,1.69,54.08,2010-01-12,online
536367-10,22745,6,2.1,12.6,2010-01-12,online
536367-11,22748,6,2.1,12.6,2010-01-12,online
536367-12,22749,8,3.75,30,2010-01-12,online
536367-13,22310,6,1.65,9.9,2010-01-12,online
536367-14,84969,6,4.25,25.5,2010-01-12,online
536367-15,22623,3,4.95,14.85,2010-01-12,online
536367-16,22622,2,9.95,19.9,2010-01-12,online
536367-17,21754,3,5.95,17.85,2010-01-12,online
536367-18,21755,3,5.95,17.85,2010-01-12,online
536367-19,21777,4,7.95,31.8,2010-01-12,online
536367-20,48187,4,7.95,31.8,2010-01-12,online
536368-21,22960,6,4.25,25.5,2010-01-12,online
536368-22,22913,3,4.95,14.85,2010-01-12,online
536368-23,22912,3,4.95,14.85,2010-01-12,online
536368-24,22914,3,4.95,14.85,2010-01-12,online
536369-25,21756,3,5.95,17.85,2010-01-12,online
536370-26,22728,24,3.75,90,2010-01-12,online
536370-27,22727,24,3.75,90,2010-01-12,online
536370-28,22726,12,3.75,45,2010-01-12,online
536370-29,21724,12,0.85,10.2,2010-01-12,online
536370-30,21883,24,0.65,15.6,2010-01-12,online
536370-31,10002,48,0.85,40.8,2010-01-12,online
536370-32,21791,24,1.25,30,2010-01-12,online
536370-33,21035,18,2.95,53.1,2010-01-12,online
536370-34,22326,24,2.95,70.8,2010-01-12,online
536370-35,22629,24,1.95,46.8,2010-01-12,online
536370-36,22659,24,1.95,46.8,2010-01-12,online
536370-37,22631,24,1.95,46.8,2010-01-12,online
536370-38,22661,20,0.85,17,2010-01-12,online
536370-39,21731,24,1.65,39.6,2010-01-12,online
536370-40,22900,24,2.95,70.8,2010-01-12,online
536370-41,21913,12,3.75,45,2010-01-12,online
536370-42,22540,24,0.42,10.08,2010-01-12,online
536370-43,22544,24,0.42,10.08,2010-01-12,online
536370-44,22492,36,0.65,23.4,2010-01-12,online
536370-45,POST,3,18,54,2010-01-12,online
536371-46,22086,80,2.55,204,2010-01-12,online
536372-47,22632,6,1.85,11.1,2010-01-12,online
536372-48,22633,6,1.85,11.1,2010-01-12,online
536373-49,85123A,6,2.55,15.3,2010-01-12,online
536373-50,71053,6,3.39,20.34,2010-01-12,online
536373-51,84406B,8,2.75,22,2010-01-12,online
536373-52,20679,6,4.95,29.7,2010-01-12,online
536373-53,37370,6,1.06,6.36,2010-01-12,online
536373-54,21871,6,1.06,6.36,2010-01-12,online
536373-55,21071,6,1.06,6.36,2010-01-12,online
536373-56,21068,6,1.06,6.36,2010-01-12,online
536373-57,82483,2,4.95,9.9,2010-01-12,online
536373-58,82486,4,6.95,27.8,2010-01-12,online
536373-59,82482,6,2.1,12.6,2010-01-12,online
536373-60,82494L,6,2.55,15.3,2010-01-12,online
536373-61,84029G,6,3.39,20.34,2010-01-12,online
536373-62,84029E,6,3.39,20.34,2010-01-12,online
536373-63,22752,2,7.65,15.3,2010-01-12,online
536373-64,21730,6,4.25,25.5,2010-01-12,online
536374-65,21258,32,10.95,350.4,2010-01-12,online
536375-66,85123A,6,2.55,15.3,2010-01-12,online
536375-67,71053,6,3.39,20.34,2010-01-12,online
536375-68,84406B,8,2.75,22,2010-01-12,online
536375-69,20679,6,4.95,29.7,2010-01-12,online
536375-70,37370,6,1.06,6.36,2010-01-12,online
536375-71,21871,6,1.06,6.36,2010-01-12,online
536375-72,21071,6,1.06,6.36,2010-01-12,online
536375-73,21068,6,1.06,6.36,2010-01-12,online
536375-74,82483,2,4.95,9.9,2010-01-12,online
536375-75,82486,4,6.95,27.8,2010-01-12,online
536375-76,82482,6,2.1,12.6,2010-01-12,online
536375-77,82494L,6,2.55,15.3,2010-01-12,online
536375-78,84029G,6,3.39,20.34,2010-01-12,online
536375-79,84029E,6,3.39,20.34,2010-01-12,online
536375-80,22752,2,7.65,15.3,2010-01-12,online
536375-81,21730,6,4.25,25.5,2010-01-12,online
536376-82,22114,48,3.45,165.6,2010-01-12,online
536376-83,21733,64,2.55,163.2,2010-01-12,online
536377-84,22632,6,1.85,11.1,2010-01-12,online
536377-85,22633,6,1.85,11.1,2010-01-12,online
536378-86,22386,10,1.95,19.5,2010-01-12,online
536378-87,85099C,10,1.95,19.5,2010-01-12,online
536378-88,21033,10,2.95,29.5,2010-01-12,online
536378-89,20723,10,0.85,8.5,2010-01-12,online
536378-90,84997B,12,3.75,45,2010-01-12,online
536378-91,84997C,6,3.75,22.5,2010-01-12,online
536378-92,21094,12,0.85,10.2,2010-01-12,online
536378-93,20725,10,1.65,16.5,2010-01-12,online
536378-94,21559,6,2.55,15.3,2010-01-12,online
536378-95,22352,6,2.55,15.3,2010-01-12,online
536378-96,21212,120,0.42,50.4,2010-01-12,online
536378-97,21975,24,0.55,13.2,2010-01-12,online
536378-98,21977,24,0.55,13.2,2010-01-12,online
536378-99,84991,24,0.55,13.2,2010-01-12,online
536378-100,84519A,6,2.95,17.7,2010-01-12,online
536378-101,85183B,48,1.25,60,2010-01-12,online
536378-102,85071B,96,0.38,36.48,2010-01-12,online
536378-103,21931,10,1.95,19.5,2010-01-12,online
536378-104,21929,10,1.95,19.5,2010-01-12,online
536380-105,22961,24,1.45,34.8,2010-01-12,online
536381-106,22139,23,4.25,97.75,2010-01-12,online
536381-107,84854,5,4.95,24.75,2010-01-12,online
536381-108,22411,10,1.95,19.5,2010-01-12,online
536381-109,82567,2,2.1,4.2,2010-01-12,online
536381-110,21672,6,1.25,7.5,2010-01-12,online
536381-111,22774,24,1.25,30,2010-01-12,online
536381-112,22771,24,1.25,30,2010-01-12,online
536381-113,71270,1,1.25,1.25,2010-01-12,online
536381-114,22262,1,0.85,0.85,2010-01-12,online
536381-115,22637,1,2.55,2.55,2010-01-12,online
536381-116,21934,10,1.65,16.5,2010-01-12,online
536381-117,21169,3,1.69,5.07,2010-01-12,online
536381-118,21166,1,1.95,1.95,2010-01-12,online
536381-119,21175,2,2.1,4.2,2010-01-12,online
536381-120,37444A,1,2.95,2.95,2010-01-12,online
536381-121,37444C,1,2.95,2.95,2010-01-12,online
536381-122,22086,4,2.95,11.8,2010-01-12,online
536381-123,22083,1,2.95,2.95,2010-01-12,online
536381-124,84971S,6,0.85,5.1,2010-01-12,online
536381-125,71270,3,1.25,3.75,2010-01-12,online
536381-126,47580,2,2.55,5.1,2010-01-12,online
536381-127,22261,1,0.85,0.85,2010-01-12,online
536381-128,84832,1,0.85,0.85,2010-01-12,online
536381-129,22644,1,1.45,1.45,2010-01-12,online
536381-130,21533,1,4.95,4.95,2010-01-12,online
536381-131,21557,2,2.95,5.9,2010-01-12,online
536381-132,15056BL,2,5.95,11.9,2010-01-12,online
536381-133,15056N,2,5.95,11.9,2010-01-12,online
536381-134,22646,4,1.45,5.8,2010-01-12,online
536381-135,22176,1,2.95,2.95,2010-01-12,online
536381-136,22438,1,1.95,1.95,2010-01-12,online
536381-137,21731,2,1.65,3.3,2010-01-12,online
536381-138,22778,3,3.95,11.85,2010-01-12,online
536381-139,22719,36,1.06,38.16,2010-01-12,online
536381-140,21523,10,6.75,67.5,2010-01-12,online
536382-142,10002,12,0.85,10.2,2010-01-12,online
536382-143,21912,8,3.75,30,2010-01-12,online
536382-144,21832,12,1.65,19.8,2010-01-12,online
536382-145,22411,10,1.95,19.5,2010-01-12,online
536382-146,22379,10,2.1,21,2010-01-12,online
536382-147,22381,50,1.85,92.5,2010-01-12,online
536382-148,22798,8,2.95,23.6,2010-01-12,online
536382-149,22726,4,3.75,15,2010-01-12,online
536382-150,22926,12,5.95,71.4,2010-01-12,online
536382-151,22839,2,14.95,29.9,2010-01-12,online
536382-152,22838,2,14.95,29.9,2010-01-12,online
536382-153,22783,4,16.95,67.8,2010-01-12,online
536384-155,82484,3,6.45,19.35,2010-01-12,online
536384-156,84755,48,0.65,31.2,2010-01-12,online
536384-157,22464,12,1.65,19.8,2010-01-12,online
536384-158,21324,6,2.95,17.7,2010-01-12,online
536384-159,22457,12,2.95,35.4,2010-01-12,online
536384-160,22469,40,1.45,58,2010-01-12,online
536384-161,22470,40,2.55,102,2010-01-12,online
536384-162,22224,6,2.95,17.7,2010-01-12,online
536384-163,21340,2,12.75,25.5,2010-01-12,online
536384-164,22189,4,3.95,15.8,2010-01-12,online
536384-165,22427,3,5.95,17.85,2010-01-12,online
536384-166,22428,6,6.95,41.7,2010-01-12,online
536384-167,22424,8,10.95,87.6,2010-01-12,online
536385-168,22783,1,19.95,19.95,2010-01-12,online
536385-169,22961,12,1.45,17.4,2010-01-12,online
536385-170,22960,6,4.25,25.5,2010-01-12,online
536385-171,22663,10,1.95,19.5,2010-01-12,online
536385-172,85049A,12,1.25,15,2010-01-12,online
536385-173,22168,2,8.5,17,2010-01-12,online
536385-174,22662,10,1.65,16.5,2010-01-12,online
536386-175,84880,36,4.95,178.2,2010-01-12,online
536386-176,85099C,100,1.65,165,2010-01-12,online
536386-177,85099B,100,1.65,165,2010-01-12,online
536387-178,79321,192,3.82,733.44,2010-01-12,online
536387-179,22780,192,3.37,647.04,2010-01-12,online
536387-180,22779,192,3.37,647.04,2010-01-12,online
536387-181,22466,432,1.45,626.4,2010-01-12,online
536387-182,21731,432,1.25,540,2010-01-12,online
536388-183,21754,3,5.95,17.85,2010-01-12,online
536388-184,21755,3,5.95,17.85,2010-01-12,online
536388-185,21523,2,7.95,15.9,2010-01-12,online
536388-186,21363,3,4.95,14.85,2010-01-12,online
536388-187,21411,3,4.25,12.75,2010-01-12,online
536388-188,22318,6,2.95,17.7,2010-01-12,online
536388-189,22464,12,1.65,19.8,2010-01-12,online
536388-190,22915,12,0.42,5.04,2010-01-12,online
536388-191,22922,12,0.85,10.2,2010-01-12,online
536388-192,22969,12,1.45,17.4,2010-01-12,online
536388-193,22923,12,0.85,10.2,2010-01-12,online
536388-194,21115,4,6.75,27,2010-01-12,online
536388-195,22469,12,1.65,19.8,2010-01-12,online
536388-196,22242,12,1.65,19.8,2010-01-12,online
536389-197,22941,6,8.5,51,2010-01-12,online
