sku,current_stock,snapshot_date
health-and-beauty-74_69,22,2026-03-05
electronic-accessories-15_28,21,2026-03-05
home-and-lifestyle-46_33,22,2026-03-05
health-and-beauty-58_22,22,2026-03-05
sports-and-travel-86_31,22,2026-03-05
electronic-accessories-85_39,22,2026-03-05
electronic-accessories-68_84,21,2026-03-05
home-and-lifestyle-73_56,23,2026-03-05
health-and-beauty-36_26,20,2026-03-05
food-and-beverages-54_84,20,2026-03-05
fashion-accessories-14_48,21,2026-03-05
electronic-accessories-25_51,21,2026-03-05
electronic-accessories-46_95,21,2026-03-05
food-and-beverages-43_19,23,2026-03-05
health-and-beauty-71_38,23,2026-03-05
sports-and-travel-93_72,21,2026-03-05
health-and-beauty-68_93,22,2026-03-05
sports-and-travel-72_61,21,2026-03-05
food-and-beverages-54_67,20,2026-03-05
home-and-lifestyle-40_30,20,2026-03-05
electronic-accessories-86_04,21,2026-03-05
health-and-beauty-87_98,20,2026-03-05
home-and-lifestyle-33_20,20,2026-03-05
electronic-accessories-34_56,21,2026-03-05
sports-and-travel-88_63,20,2026-03-05
home-and-lifestyle-52_59,22,2026-03-05
fashion-accessories-33_52,20,2026-03-05
fashion-accessories-87_67,20,2026-03-05
food-and-beverages-88_36,21,2026-03-05
health-and-beauty-24_89,22,2026-03-05
fashion-accessories-94_13,21,2026-03-05
sports-and-travel-78_07,22,2026-03-05
sports-and-travel-83_78,22,2026-03-05
health-and-beauty-96_58,20,2026-03-05
food-and-beverages-99_42,21,2026-03-05
sports-and-travel-68_12,20,2026-03-05
sports-and-travel-62_62,21,2026-03-05
electronic-accessories-60_88,22,2026-03-05
health-and-beauty-54_92,22,2026-03-05
home-and-lifestyle-30_12,22,2026-03-05
home-and-lifestyle-86_72,20,2026-03-05
home-and-lifestyle-56_11,20,2026-03-05
sports-and-travel-69_12,21,2026-03-05
food-and-beverages-98_70,22,2026-03-05
health-and-beauty-15_37,20,2026-03-05
electronic-accessories-93_96,21,2026-03-05
health-and-beauty-56_69,22,2026-03-05
food-and-beverages-20_01,22,2026-03-05
electronic-accessories-18_93,21,2026-03-05
fashion-accessories-82_63,23,2026-03-05
food-and-beverages-91_40,22,2026-03-05
food-and-beverages-44_59,21,2026-03-05
fashion-accessories-17_87,21,2026-03-05
fashion-accessories-15_43,20,2026-03-05
home-and-lifestyle-16_16,20,2026-03-05
electronic-accessories-85_98,22,2026-03-05
home-and-lifestyle-44_34,20,2026-03-05
health-and-beauty-89_60,22,2026-03-05
home-and-lifestyle-72_35,23,2026-03-05
electronic-accessories-30_61,21,2026-03-05
sports-and-travel-24_74,20,2026-03-05
home-and-lifestyle-55_73,21,2026-03-05
sports-and-travel-55_07,22,2026-03-05
sports-and-travel-15_81,23,2026-03-05
health-and-beauty-75_74,21,2026-03-05
health-and-beauty-15_87,23,2026-03-05
health-and-beauty-33_47,20,2026-03-05
fashion-accessories-97_61,21,2026-03-05
sports-and-travel-78_77,23,2026-03-05
health-and-beauty-18_33,20,2026-03-05
food-and-beverages-89_48,23,2026-03-05
fashion-accessories-62_12,23,2026-03-05
food-and-beverages-48_52,20,2026-03-05
electronic-accessories-75_91,21,2026-03-05
home-and-lifestyle-74_67,22,2026-03-05
electronic-accessories-41_65,23,2026-03-05
fashion-accessories-49_04,22,2026-03-05
fashion-accessories-20_01,22,2026-03-05
food-and-beverages-78_31,23,2026-03-05
health-and-beauty-20_38,21,2026-03-05
health-and-beauty-99_19,21,2026-03-05
food-and-beverages-96_68,20,2026-03-05
food-and-beverages-19_25,22,2026-03-05
food-and-beverages-80_36,21,2026-03-05
sports-and-travel-48_91,21,2026-03-05
sports-and-travel-83_06,22,2026-03-05
fashion-accessories-76_52,21,2026-03-05
food-and-beverages-49_38,22,2026-03-05
sports-and-travel-42_47,20,2026-03-05
health-and-beauty-76_99,21,2026-03-05
home-and-lifestyle-47_38,21,2026-03-05
sports-and-travel-44_86,23,2026-03-05
sports-and-travel-21_98,22,2026-03-05
health-and-beauty-64_36,22,2026-03-05
health-and-beauty-89_75,20,2026-03-05
electronic-accessories-97_16,20,2026-03-05
health-and-beauty-87_87,23,2026-03-05
electronic-accessories-12_45,21,2026-03-05
food-and-beverages-52_75,20,2026-03-05
home-and-lifestyle-82_70,21,2026-03-05
fashion-accessories-48_71,20,2026-03-05
fashion-accessories-78_55,22,2026-03-05
electronic-accessories-23_07,22,2026-03-05
food-and-beverages-58_26,21,2026-03-05
health-and-beauty-30_35,22,2026-03-05
electronic-accessories-88_67,23,2026-03-05
fashion-accessories-27_38,21,2026-03-05
sports-and-travel-62_13,21,2026-03-05
food-and-beverages-33_98,22,2026-03-05
electronic-accessories-81_97,23,2026-03-05
sports-and-travel-16_49,20,2026-03-05
health-and-beauty-98_21,20,2026-03-05
fashion-accessories-72_84,22,2026-03-05
home-and-lifestyle-58_07,22,2026-03-05
home-and-lifestyle-80_79,22,2026-03-05
fashion-accessories-27_02,20,2026-03-05
fashion-accessories-21_94,21,2026-03-05
fashion-accessories-51_36,20,2026-03-05
food-and-beverages-10_96,23,2026-03-05
home-and-lifestyle-53_44,20,2026-03-05
electronic-accessories-99_56,22,2026-03-05
sports-and-travel-57_12,22,2026-03-05
sports-and-travel-99_96,22,2026-03-05
home-and-lifestyle-63_91,22,2026-03-05
fashion-accessories-56_47,22,2026-03-05
home-and-lifestyle-93_69,22,2026-03-05
sports-and-travel-32_25,21,2026-03-05
fashion-accessories-31_73,22,2026-03-05
food-and-beverages-68_54,22,2026-03-05
sports-and-travel-90_28,22,2026-03-05
fashion-accessories-39_62,22,2026-03-05
sports-and-travel-92_13,21,2026-03-05
sports-and-travel-34_84,21,2026-03-05
electronic-accessories-87_45,21,2026-03-05
health-and-beauty-81_30,21,2026-03-05
fashion-accessories-90_22,20,2026-03-05
electronic-accessories-26_31,21,2026-03-05
home-and-lifestyle-34_42,23,2026-03-05
sports-and-travel-51_91,23,2026-03-05
sports-and-travel-72_50,22,2026-03-05
sports-and-travel-89_80,23,2026-03-05
health-and-beauty-90_50,23,2026-03-05
health-and-beauty-68_60,23,2026-03-05
