transaction_id,sku,quantity,unit_price,total_amount,sale_date,channel
750-67-8428,health-and-beauty-74_69,7,74.69,548.97,2019-01-05,online
226-31-3081,electronic-accessories-15_28,5,15.28,80.22,2019-03-08,offline
631-41-3108,home-and-lifestyle-46_33,7,46.33,340.53,2019-03-03,offline
123-19-1176,health-and-beauty-58_22,8,58.22,489.05,2019-01-27,online
373-73-7910,sports-and-travel-86_31,7,86.31,634.38,2019-02-08,online
699-14-3026,electronic-accessories-85_39,7,85.39,627.62,2019-03-25,online
355-53-5943,electronic-accessories-68_84,6,68.84,433.69,2019-02-25,online
315-22-5665,home-and-lifestyle-73_56,10,73.56,772.38,2019-02-24,online
665-32-9167,health-and-beauty-36_26,2,36.26,76.15,2019-01-10,offline
692-92-5582,food-and-beverages-54_84,3,54.84,172.75,2019-02-20,offline
351-62-0822,fashion-accessories-14_48,4,14.48,60.82,2019-02-06,online
529-56-3974,electronic-accessories-25_51,4,25.51,107.14,2019-03-09,offline
365-64-0515,electronic-accessories-46_95,5,46.95,246.49,2019-02-12,online
252-56-2699,food-and-beverages-43_19,10,43.19,453.5,2019-02-07,online
829-34-3910,health-and-beauty-71_38,10,71.38,749.49,2019-03-29,offline
299-46-1805,sports-and-travel-93_72,6,93.72,590.44,2019-01-15,offline
656-95-9349,health-and-beauty-68_93,7,68.93,506.64,2019-03-11,offline
765-26-6951,sports-and-travel-72_61,6,72.61,457.44,2019-01-01,offline
329-62-1586,food-and-beverages-54_67,3,54.67,172.21,2019-01-21,offline
319-50-3348,home-and-lifestyle-40_30,2,40.3,84.63,2019-03-11,online
300-71-4605,electronic-accessories-86_04,5,86.04,451.71,2019-02-25,online
371-85-5789,health-and-beauty-87_98,3,87.98,277.14,2019-03-05,online
273-16-6619,home-and-lifestyle-33_20,2,33.2,69.72,2019-03-15,offline
636-48-8204,electronic-accessories-34_56,5,34.56,181.44,2019-02-17,online
549-59-1358,sports-and-travel-88_63,3,88.63,279.18,2019-03-02,online
227-03-5010,home-and-lifestyle-52_59,8,52.59,441.76,2019-03-22,offline
649-29-6775,fashion-accessories-33_52,1,33.52,35.2,2019-02-08,offline
189-17-4241,fashion-accessories-87_67,2,87.67,184.11,2019-03-10,offline
145-94-9061,food-and-beverages-88_36,5,88.36,463.89,2019-01-25,offline
848-62-7243,health-and-beauty-24_89,9,24.89,235.21,2019-03-15,offline
871-79-8483,fashion-accessories-94_13,5,94.13,494.18,2019-02-25,offline
149-71-6266,sports-and-travel-78_07,9,78.07,737.76,2019-01-28,offline
640-49-2076,sports-and-travel-83_78,8,83.78,703.75,2019-01-10,offline
595-11-5460,health-and-beauty-96_58,2,96.58,202.82,2019-03-15,offline
183-56-6882,food-and-beverages-99_42,4,99.42,417.56,2019-02-06,online
232-16-2483,sports-and-travel-68_12,1,68.12,71.53,2019-01-07,online
129-29-8530,sports-and-travel-62_62,5,62.62,328.75,2019-03-10,online
272-65-1806,electronic-accessories-60_88,9,60.88,575.32,2019-01-15,online
333-73-7901,health-and-beauty-54_92,8,54.92,461.33,2019-03-23,online
777-82-7220,home-and-lifestyle-30_12,8,30.12,253.01,2019-03-03,offline
